Coluna;CBO Ocupação 2002
Município;PRODUTOR DA CULTURA DE DENDE;PRODUTOR DA CULTURA DE MAMONA;PRODUTOR DA CULTURA DE SOJA;TRABALHADOR NA CULTURA DE DENDE;TRABALHADOR NA CULTURA DE MAMONA;TRABALHADOR NA CULTURA DE SOJA;TRABALHADOR NA CULTURA DO GIRASSOL;Total
PR-ITAMBE;0;0;0;0;0;2940,8200000003;0;2940,8200000003
PR-JACAREZINHO;0;0;0;0;0;1685,6400000006;0;1685,6400000006
PR-JAGUAPITA;0;0;0;0;0;1852,3599999994;0;1852,3599999994
PR-JANIOPOLIS;0;0;0;0;0;18557,6499999976;0;18557,6499999976
PR-JURANDA;0;0;0;0;0;16754,5799999991;0;16754,5799999991
PR-JUSSARA;0;0;0;0;0;9170,31000000052;0;9170,31000000052
PR-LAPA;0;0;0;0;0;4066,9299999997;0;4066,9299999997
PR-LEOPOLIS;0;0;0;0;0;1838,34999999963;0;1838,34999999963
PR-LINDOESTE;0;0;0;0;0;1200;0;1200
PR-LOBATO;0;0;0;0;0;10270,4500000039;0;10270,4500000039
PR-LONDRINA;0;0;0;0;0;45881,0300000049;0;45881,0300000049
PR-LUIZIANA;0;0;0;0;0;21397,5900000017;0;21397,5900000017
PR-LUPIONOPOLIS;0;0;0;0;0;16871,3900000025;0;16871,3900000025
PR-MAMBORE;0;0;0;0;0;6339,60000000242;0;6339,60000000242
PR-MANDAGUACU;0;0;0;0;0;914,080000000075;0;914,080000000075
PR-MANOEL RIBAS;0;0;0;0;0;812,070000000298;0;812,070000000298
PR-MARIALVA;0;0;0;0;0;39017,5399999991;0;39017,5399999991
PR-MARILANDIA DO SUL;0;0;0;0;0;17549,8300000019;0;17549,8300000019
PR-MARILUZ;0;0;0;0;0;6359,91999999993;0;6359,91999999993
PR-MARINGA;0;0;0;0;0;14134,0500000045;0;14134,0500000045
PR-MARMELEIRO;0;0;0;0;0;12649,7700000014;0;12649,7700000014
PR-MAUA DA SERRA;0;0;0;0;0;1030,41000000015;0;1030,41000000015
PR-MUNHOZ DE MELO;0;0;0;0;0;2251,73999999836;0;2251,73999999836
PR-NOVA AURORA;0;0;0;0;0;3162,24000000022;0;3162,24000000022
PR-NOVA CANTU;0;0;0;0;0;13575,9299999988;0;13575,9299999988
PR-NOVA LARANJEIRAS;0;0;0;0;0;5159,46999999881;0;5159,46999999881
PR-OURIZONA;0;0;0;0;0;1249,08999999985;0;1249,08999999985
PR-OURO VERDE DO OESTE;0;0;0;0;0;4557,95999999903;0;4557,95999999903
PR-PAICANDU;0;0;0;0;0;2527,3599999994;0;2527,3599999994
PR-PALMAS;0;0;0;0;0;11982,5;0;11982,5
PR-PALMEIRA;0;0;0;0;0;2608,3200000003;0;2608,3200000003
PR-PALOTINA;0;0;0;0;0;8342,58999999985;0;8342,58999999985
PR-PARANACITY;0;0;0;0;0;1494,75999999978;0;1494,75999999978
PR-PARANAGUA;0;0;0;0;0;7309,16999999806;0;7309,16999999806
PR-PAULA FREITAS;0;0;0;0;0;1300;0;1300
PR-PEABIRU;0;0;0;0;0;960,200000000186;0;960,200000000186
PR-PINHAO;0;0;0;0;0;52015,8999999911;0;52015,8999999911
PR-PIRAI DO SUL;0;0;1030,61999999918;0;0;0;0;1030,61999999918
PR-PITANGA;0;0;0;0;0;2982,50999999978;0;2982,50999999978
PR-PONTA GROSSA;0;0;0;0;0;17971,5299999984;0;17971,5299999984
PR-PORTO AMAZONAS;0;0;0;0;0;2008,16000000015;0;2008,16000000015
PR-PRIMEIRO DE MAIO;0;0;0;0;0;45158,8000000035;0;45158,8000000035
PR-QUARTO CENTENARIO;0;0;0;0;0;7622,69999999925;0;7622,69999999925
PR-QUATRO PONTES;0;0;0;0;0;3452,79000000097;0;3452,79000000097
PR-QUERENCIA DO NORTE;0;0;0;0;0;3218,00999999978;0;3218,00999999978
PR-RANCHO ALEGRE;0;0;0;0;0;1896,33999999985;0;1896,33999999985
PR-RANCHO ALEGRE D OESTE;0;0;0;0;0;11038,5999999996;0;11038,5999999996
PR-RENASCENCA;0;0;0;0;0;27746,0000000028;0;27746,0000000028
PR-RESERVA DO IGUACU;0;0;0;0;0;16534,089999998;0;16534,089999998
PR-ROLANDIA;0;0;0;0;0;998,509999999776;0;998,509999999776
PR-RONCADOR;0;0;0;0;0;1109,56000000052;0;1109,56000000052
PR-SALTO DO LONTRA;0;0;0;0;0;1997,70000000019;0;1997,70000000019
PR-SANTA HELENA;0;0;0;0;0;7397,64999999851;0;7397,64999999851
PR-SANTA IZABEL DO OESTE;0;0;0;0;0;1421,8599999994;0;1421,8599999994
PR-SANTA LUCIA;0;0;0;0;0;2172;0;2172
PR-SANTA MARIA DO OESTE;0;0;0;0;0;929,169999999925;0;929,169999999925
PR-SANTA MARIANA;0;0;0;0;0;2148,03999999911;0;2148,03999999911
PR-SANTA MONICA;0;0;0;0;0;535,700000000186;0;535,700000000186
PR-SANTA TEREZA DO OESTE;0;0;0;0;0;9695,50000000373;0;9695,50000000373
PR-SANTA TEREZINHA DE ITAIPU;0;0;0;0;0;1580,4299999997;0;1580,4299999997
PR-SANTO INACIO;0;0;0;0;0;3576,5;0;3576,5
PR-SAO JERONIMO DA SERRA;0;0;0;0;0;4459,81000000052;0;4459,81000000052
PR-SAO JOAO;0;0;0;0;0;3288,05999999866;0;3288,05999999866
PR-SAO MATEUS DO SUL;0;0;0;0;0;2808,08999999985;0;2808,08999999985
PR-SARANDI;0;0;1182;0;0;3431,96000000089;0;4613,96000000089
PR-SENGES;0;0;0;0;0;1591,66000000015;0;1591,66000000015
PR-SERTANEJA;0;0;1149,1400000006;0;0;4714,72000000067;0;5863,86000000127
PR-SERTANOPOLIS;0;0;14652,7699999977;0;0;44755,8399999999;0;59408,6099999975
PR-TEIXEIRA SOARES;0;0;1214,83000000007;0;0;0;0;1214,83000000007
PR-TERRA BOA;0;0;0;0;0;62338,969999996;0;62338,969999996
PR-TERRA ROXA;0;0;0;0;0;34625,1399999959;0;34625,1399999959
PR-TIBAGI;0;0;0;0;0;1294,58999999985;0;1294,58999999985
PR-TOLEDO;0;0;1032,74000000022;0;0;15773,6499999966;0;16806,3899999969
PR-TUNEIRAS DO OESTE;0;0;0;0;0;2601,77999999933;0;2601,77999999933
PR-TUPASSI;0;0;0;0;0;909,370000000112;0;909,370000000112
PR-UBIRATA;0;0;0;0;0;66264,4599999953;0;66264,4599999953
PR-UMUARAMA;0;0;0;0;0;1310,50999999978;0;1310,50999999978
PR-UNIAO DA VITORIA;0;0;0;0;0;1855,8200000003;0;1855,8200000003
PR-VENTANIA;0;0;0;0;0;31857,7399999984;0;31857,7399999984
PR-VERE;0;0;0;0;0;2566,33000000007;0;2566,33000000007
PR-VITORINO;0;0;0;0;0;2761,14999999851;0;2761,14999999851
SC-ABELARDO LUZ;0;0;0;0;0;1810,79999999981;0;1810,79999999981
SC-CANOINHAS;0;0;0;0;0;877,580000000075;0;877,580000000075
SC-DIONISIO CERQUEIRA;0;0;0;0;0;812,070000000298;0;812,070000000298
SC-IRINEOPOLIS;0;0;1240,36999999918;0;0;15944,7100000028;0;17185,0800000019
SC-MAFRA;0;0;0;0;0;921,049999999814;0;921,049999999814
SC-MAJOR VIEIRA;0;0;0;0;0;10586,8300000001;0;10586,8300000001
SC-OTACILIO COSTA;0;0;0;0;0;899,549999999814;0;899,549999999814
SC-OURO VERDE;0;0;0;0;0;1488,22000000067;0;1488,22000000067
SC-PAPANDUVA;0;0;0;0;0;10257,75;0;10257,75
SC-PORTO UNIAO;0;0;0;0;0;3913,87999999989;0;3913,87999999989
SC-SAO DOMINGOS;0;0;0;0;0;1576;0;1576
RS-AJURICABA;0;0;0;0;0;7069,81000000052;0;7069,81000000052
RS-ALEGRETE;0;0;0;0;0;7545,92000000179;0;7545,92000000179
RS-ALEGRIA;0;0;0;0;0;2276,43999999948;0;2276,43999999948
RS-ALMIRANTE TAMANDARE DO SUL;0;0;0;0;0;3315,58000000007;0;3315,58000000007
RS-ARROIO GRANDE;0;0;0;0;0;5328,83999999799;0;5328,83999999799
