"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"Total";"Estado";"Mun";"chave";"ano"
"PA-ANAJAS";0;0;0;0;0;0;0;0;"PA";"ANAJAS";"ANAJAS (PA)";2015
"PA-ANANINDEUA";0;0;0;0;0;0;0;0;"PA";"ANANINDEUA";"ANANINDEUA (PA)";2015
"PA-ANAPU";0;0;0;0;0;0;0;0;"PA";"ANAPU";"ANAPU (PA)";2015
"PA-AUGUSTO CORREA";0;0;0;0;0;0;0;0;"PA";"AUGUSTO CORREA";"AUGUSTO CORREA (PA)";2015
"PA-AURORA DO PARA";0;0;0;0;0;0;0;0;"PA";"AURORA DO PARA";"AURORA DO PARA (PA)";2015
"PA-AVEIRO";0;0;0;0;0;0;0;0;"PA";"AVEIRO";"AVEIRO (PA)";2015
"PA-BAGRE";0;0;0;0;0;0;0;0;"PA";"BAGRE";"BAGRE (PA)";2015
"PA-BAIAO";0;0;0;0;0;0;0;0;"PA";"BAIAO";"BAIAO (PA)";2015
"PA-BANNACH";0;0;0;0;0;0;0;0;"PA";"BANNACH";"BANNACH (PA)";2015
"PA-BARCARENA";0;0;0;0;0;0;0;0;"PA";"BARCARENA";"BARCARENA (PA)";2015
"PA-BELEM";0;0;0;2603.77000000142;0;0;0;2603.77000000142;"PA";"BELEM";"BELEM (PA)";2015
"PA-BELTERRA";0;0;0;0;0;0;0;0;"PA";"BELTERRA";"BELTERRA (PA)";2015
"PA-BENEVIDES";0;0;0;0;0;0;0;0;"PA";"BENEVIDES";"BENEVIDES (PA)";2015
"PA-BOM JESUS DO TOCANTINS";0;0;0;0;0;0;0;0;"PA";"BOM JESUS DO TOCANTINS";"BOM JESUS DO TOCANTINS (PA)";2015
"PA-BONITO";0;0;0;634461.389999982;0;0;0;634461.389999982;"PA";"BONITO";"BONITO (PA)";2015
