"ano";"Cód.";"Município";"Dendê..cacho.de.coco.";"Girassol..em.grão.";"Mamona..baga.";"Soja..em.grão."
2003;"1504000";"LIMOEIRO DO AJURU (PA)";0;0;0;0
2003;"1504059";"MAE DO RIO (PA)";0;0;0;0
2003;"1504109";"MAGALHAES BARATA (PA)";0;0;0;0
2003;"1504208";"MARABA (PA)";0;0;0;0
2003;"1504307";"MARACANA (PA)";105;0;0;0
2003;"1504406";"MARAPANIM (PA)";0;0;0;0
2003;"1504422";"MARITUBA (PA)";0;0;0;0
2003;"1504455";"MEDICILANDIA (PA)";0;0;0;0
2003;"1504505";"MELGACO (PA)";0;0;0;0
2003;"1504604";"MOCAJUBA (PA)";0;0;0;0
2003;"1504703";"MOJU (PA)";7432;0;0;0
2003;"1504752";"MOJUI DOS CAMPOS (PA)";0;0;0;0
2003;"1504802";"MONTE ALEGRE (PA)";0;0;0;0
2003;"1504901";"MUANA (PA)";0;0;0;0
2003;"1504950";"NOVA ESPERANCA DO PIRIA (PA)";0;0;0;0
2003;"1504976";"NOVA IPIXUNA (PA)";0;0;0;0
2003;"1505007";"NOVA TIMBOTEUA (PA)";0;0;0;0
2003;"1505031";"NOVO PROGRESSO (PA)";0;0;0;0
2003;"1505064";"NOVO REPARTIMENTO (PA)";0;0;0;0
2003;"1505106";"OBIDOS (PA)";0;0;0;0
2003;"1505205";"OEIRAS DO PARA (PA)";0;0;0;0
2003;"1505304";"ORIXIMINA (PA)";0;0;0;0
2003;"1505403";"OUREM (PA)";0;0;0;0
2003;"1505437";"OURILANDIA DO NORTE (PA)";0;0;0;0
2003;"1505486";"PACAJA (PA)";0;0;0;0
2003;"1505494";"PALESTINA DO PARA (PA)";0;0;0;0
2003;"1505502";"PARAGOMINAS (PA)";0;0;0;6048
2003;"1505536";"PARAUAPEBAS (PA)";0;0;0;0
2003;"1505551";"PAU D ARCO (PA)";0;0;0;0
2003;"1505601";"PEIXE BOI (PA)";0;0;0;0
2003;"1505635";"PICARRA (PA)";0;0;0;0
2003;"1505650";"PLACAS (PA)";0;0;0;0
2003;"1505700";"PONTA DE PEDRAS (PA)";0;0;0;0
2003;"1505809";"PORTEL (PA)";0;0;0;0
2003;"1505908";"PORTO DE MOZ (PA)";0;0;0;0
2003;"1506005";"PRAINHA (PA)";0;0;0;0
2003;"1506104";"PRIMAVERA (PA)";0;0;0;0
2003;"1506112";"QUATIPURU (PA)";0;0;0;0
2003;"1506138";"REDENCAO (PA)";0;0;0;348
2003;"1506161";"RIO MARIA (PA)";0;0;0;0
2003;"1506187";"RONDON DO PARA (PA)";0;0;0;0
2003;"1506195";"RUROPOLIS (PA)";0;0;0;0
2003;"1506203";"SALINOPOLIS (PA)";0;0;0;0
2003;"1506302";"SALVATERRA (PA)";0;0;0;0
2003;"1506351";"SANTA BARBARA DO PARA (PA)";2525;0;0;0
2003;"1506500";"SANTA IZABEL DO PARA (PA)";600;0;0;0
2003;"1506559";"SANTA LUZIA DO PARA (PA)";12;0;0;0
2003;"1506583";"SANTA MARIA DAS BARREIRAS (PA)";0;0;0;0
2003;"1506609";"SANTA MARIA DO PARA (PA)";53;0;0;0
2003;"1506708";"SANTANA DO ARAGUAIA (PA)";0;0;0;795
2003;"1506807";"SANTAREM (PA)";0;0;0;4223
2003;"1506906";"SANTAREM NOVO (PA)";0;0;0;0
2003;"1507003";"SANTO ANTONIO DO TAUA (PA)";5074;0;0;0
2003;"1507102";"SAO CAETANO DE ODIVELAS (PA)";0;0;0;0
2003;"1507151";"SAO DOMINGOS DO ARAGUAIA (PA)";0;0;0;0
2003;"1507201";"SAO DOMINGOS DO CAPIM (PA)";0;0;0;0
2003;"1507300";"SAO FELIX DO XINGU (PA)";0;0;0;0
2003;"1507409";"SAO FRANCISCO DO PARA (PA)";200;0;0;0
2003;"1507458";"SAO GERALDO DO ARAGUAIA (PA)";0;0;0;0
2003;"1507466";"SAO JOAO DA PONTA (PA)";0;0;0;0
2003;"1507474";"SAO JOAO DE PIRABAS (PA)";0;0;0;0
2003;"1507508";"SAO JOAO DO ARAGUAIA (PA)";0;0;0;0
2003;"1507607";"SAO MIGUEL DO GUAMA (PA)";0;0;0;0
2003;"1507706";"SAO SEBASTIAO DA BOA VISTA (PA)";0;0;0;0
2003;"1507755";"SAPUCAIA (PA)";0;0;0;0
2003;"1507805";"SENADOR JOSE PORFIRIO (PA)";0;0;0;0
2003;"1507904";"SOURE (PA)";0;0;0;0
2003;"1507953";"TAILANDIA (PA)";15025;0;0;0
2003;"1507961";"TERRA ALTA (PA)";0;0;0;0
2003;"1507979";"TERRA SANTA (PA)";0;0;0;0
2003;"1508001";"TOME ACU (PA)";492;0;0;0
2003;"1508035";"TRACUATEUA (PA)";0;0;0;0
2003;"1508050";"TRAIRAO (PA)";0;0;0;89
2003;"1508084";"TUCUMA (PA)";0;0;0;0
2003;"1508100";"TUCURUI (PA)";0;0;0;0
2003;"1508126";"ULIANOPOLIS (PA)";0;0;0;2574
2003;"1508159";"URUARA (PA)";0;0;0;19
2003;"1508209";"VIGIA (PA)";608;0;0;0
2003;"1508308";"VISEU (PA)";0;0;0;0
2003;"1508357";"VITORIA DO XINGU (PA)";0;0;0;0
2003;"1508407";"XINGUARA (PA)";0;0;0;0
2003;"1600055";"SERRA DO NAVIO (AP)";0;0;0;0
2003;"1600105";"AMAPA (AP)";0;0;0;0
2003;"1600154";"PEDRA BRANCA DO AMAPARI (AP)";0;0;0;0
