"ano";"Cód.";"Município";"Dendê..cacho.de.coco.";"Girassol..em.grão.";"Mamona..baga.";"Soja..em.grão."
2006;"1503408";"INHANGAPI (PA)";240;0;0;0
2006;"1503457";"IPIXUNA DO PARA (PA)";0;0;0;0
2006;"1503507";"IRITUIA (PA)";0;0;0;0
2006;"1503606";"ITAITUBA (PA)";0;0;0;0
2006;"1503705";"ITUPIRANGA (PA)";0;0;0;0
2006;"1503754";"JACAREACANGA (PA)";0;0;0;0
2006;"1503804";"JACUNDA (PA)";0;0;0;0
2006;"1503903";"JURUTI (PA)";0;0;0;0
2006;"1504000";"LIMOEIRO DO AJURU (PA)";0;0;0;0
2006;"1504059";"MAE DO RIO (PA)";0;0;0;0
2006;"1504109";"MAGALHAES BARATA (PA)";0;0;0;0
2006;"1504208";"MARABA (PA)";0;0;0;60
2006;"1504307";"MARACANA (PA)";1501;0;0;0
2006;"1504406";"MARAPANIM (PA)";0;0;0;0
2006;"1504422";"MARITUBA (PA)";0;0;0;0
2006;"1504455";"MEDICILANDIA (PA)";0;0;0;360
2006;"1504505";"MELGACO (PA)";0;0;0;0
2006;"1504604";"MOCAJUBA (PA)";0;0;0;0
2006;"1504703";"MOJU (PA)";135132;0;0;0
2006;"1504752";"MOJUI DOS CAMPOS (PA)";0;0;0;0
2006;"1504802";"MONTE ALEGRE (PA)";0;0;0;0
2006;"1504901";"MUANA (PA)";0;0;0;0
2006;"1504950";"NOVA ESPERANCA DO PIRIA (PA)";0;0;0;0
2006;"1504976";"NOVA IPIXUNA (PA)";0;0;0;0
2006;"1505007";"NOVA TIMBOTEUA (PA)";1340;0;0;0
2006;"1505031";"NOVO PROGRESSO (PA)";0;0;0;2720
2006;"1505064";"NOVO REPARTIMENTO (PA)";0;0;0;0
2006;"1505106";"OBIDOS (PA)";0;0;0;0
2006;"1505205";"OEIRAS DO PARA (PA)";0;0;0;0
2006;"1505304";"ORIXIMINA (PA)";0;0;0;0
2006;"1505403";"OUREM (PA)";0;0;0;0
2006;"1505437";"OURILANDIA DO NORTE (PA)";0;0;0;0
2006;"1505486";"PACAJA (PA)";0;0;0;0
2006;"1505494";"PALESTINA DO PARA (PA)";0;0;0;0
2006;"1505502";"PARAGOMINAS (PA)";0;0;0;30000
2006;"1505536";"PARAUAPEBAS (PA)";0;0;0;0
2006;"1505551";"PAU D ARCO (PA)";0;0;0;0
2006;"1505601";"PEIXE BOI (PA)";0;0;0;0
2006;"1505635";"PICARRA (PA)";0;0;0;0
2006;"1505650";"PLACAS (PA)";0;0;0;105
2006;"1505700";"PONTA DE PEDRAS (PA)";0;0;0;0
2006;"1505809";"PORTEL (PA)";0;0;0;0
2006;"1505908";"PORTO DE MOZ (PA)";0;0;0;0
2006;"1506005";"PRAINHA (PA)";0;0;0;0
2006;"1506104";"PRIMAVERA (PA)";0;0;0;0
2006;"1506112";"QUATIPURU (PA)";0;0;0;0
2006;"1506138";"REDENCAO (PA)";0;0;0;3600
2006;"1506161";"RIO MARIA (PA)";0;0;0;0
2006;"1506187";"RONDON DO PARA (PA)";0;0;0;0
2006;"1506195";"RUROPOLIS (PA)";0;0;0;0
2006;"1506203";"SALINOPOLIS (PA)";0;0;0;0
2006;"1506302";"SALVATERRA (PA)";0;0;0;0
2006;"1506351";"SANTA BARBARA DO PARA (PA)";50500;0;0;0
2006;"1506500";"SANTA IZABEL DO PARA (PA)";12000;0;0;0
2006;"1506559";"SANTA LUZIA DO PARA (PA)";0;0;0;0
2006;"1506583";"SANTA MARIA DAS BARREIRAS (PA)";0;0;0;6300
2006;"1506609";"SANTA MARIA DO PARA (PA)";751;0;0;0
2006;"1506708";"SANTANA DO ARAGUAIA (PA)";0;0;0;39600
2006;"1506807";"SANTAREM (PA)";0;0;0;58500
2006;"1506906";"SANTAREM NOVO (PA)";0;0;0;0
2006;"1507003";"SANTO ANTONIO DO TAUA (PA)";35750;0;0;0
2006;"1507102";"SAO CAETANO DE ODIVELAS (PA)";0;0;0;0
2006;"1507151";"SAO DOMINGOS DO ARAGUAIA (PA)";0;0;0;0
