"ano";"cod_mun";"amc";"cod_uf";"uf";"semiarido";"chave";"q.dende";"q.girassol";"q.mamona";"q.soja";"h.dende";"h.girassol";"h.mamona";"h.soja";"v.dende";"v.girassol";"v.mamona";"v.soja";"s.dende";"s.girassol";"s.mamona";"s.soja";"d.bio";"total.contratos";"valores.totais";"vaba";"vabi";"vabs";"vabadm";"vabt";"t";"pib";"pib.per.capta"
2012;"3301108";"12015";33;"RJ";"0";"CANTAGALO (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;251;294;5356619.52956566;13034.4042327162;333738.039551397;127918.25579351;88776.6075056687;563467.306350557;61354.9058507219;624822.212201279;31508.9329571277
2012;"3301157";"12014";33;"RJ";"0";"CARDOSO MOREIRA (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;115;1799527.41072223;13871.463305183;48329.2233570984;35904.3157652701;54904.0876508097;153009.090078361;6769.11734635896;159778.20742472;12679.8024867893
2012;"3301207";"12016";33;"RJ";"0";"CARMO (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;68;1132567.50059616;8351.29635906323;62781.8081585531;60965.9285971248;70794.3012608584;202893.333642865;20364.0253911839;223257.359034049;12572.2150759693
2012;"3301306";"12017";33;"RJ";"0";"CASIMIRO DE ABREU (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;659;14;982743.747465494;6843.08176786956;1998091.08784416;781263.473309747;179020.115098876;2965217.75802065;49628.5558507829;3014846.31387143;80740.3913902686
2012;"3301405";"12018";33;"RJ";"0";"CONCEICAO DE MACABU (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;252;30;664433.56603666;5306.25535880695;8292.61604708266;58258.8474761841;86039.9686065828;157897.687488656;10774.9806773532;168672.66816601;7804.22357086196
2012;"3301504";"12019";33;"RJ";"0";"CORDEIRO (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;370;27;859140.474451252;2477.52711691339;21599.656143164;70811.1329057126;77439.1035998462;172327.419032902;10329.6964389134;182657.115471815;8821.0319487192
2012;"3301603";"12020";33;"RJ";"0";"DUAS BARRAS (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;150;2392201.27284375;23134.1348707973;5434.44140269218;25561.2828252035;49004.9386827962;103134.797781489;4591.19365439768;107725.991435887;9775.49927289147
2012;"3301702";"12021";33;"RJ";"0";"DUQUE DE CAXIAS (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13222;4;39442.9164856421;4534.90572065266;870634.256710047;8983067.75738851;3127818.28299287;12986055.2020794;2803571.38896042;15789626.5910398;18210.3874524353
2012;"3301801";"12022";33;"RJ";"0";"ENGENHEIRO PAULO DE FRONTIN (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179;5;94594.3789769468;1048.4874224625;22657.347444039;43110.8675650651;57114.3198063363;123931.022237903;6778.31243195714;130709.33466986;9748.60791569544
2012;"3301850";"12023";33;"RJ";"0";"GUAPIMIRIM (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439;13;621673.596977215;7669.24581063204;62016.6134904382;180575.19978692;196711.782192956;446972.842013681;29832.5887646965;476805.430778377;8907.75840751272
2012;"3301876";"12024";33;"RJ";"0";"IGUABA GRANDE (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;244;3;19955.592570386;1065.70082200608;24105.2103557926;81539.8054935991;96716.8698363579;203427.586507756;11316.5931278481;214744.179635604;8918.31711206844
2012;"3301900";"12025";33;"RJ";"0";"ITABORAI (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4231;15;795235.098494038;4061.38409168792;909847.64630284;980920.888607681;819151.95797381;2713981.87624328;348002.579027129;3061984.45527041;13754.4309462906
2012;"3302056";"12014";33;"RJ";"0";"ITALVA (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;244;86;1328389.18399507;8496.02754860204;60369.5449733589;50469.60832643;58610.0713159346;177945.251431591;486.515210358673;178431.76664195;12494.3473776254
2012;"3302106";"12027";33;"RJ";"0";"ITAOCARA (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;391;276;2853951.62419094;35993.133448408;19659.1538258625;90123.5889930072;88025.1941085659;233801.071108578;12351.7667639277;246152.837872506;10756.5502057578
2012;"3302205";"12028";33;"RJ";"0";"ITAPERUNA (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1503;445;15699351.3084137;35606.0869502935;206972.549562039;619441.196671263;348738.613059213;1210758.44624281;106771.829662013;1317530.27590482;13552.1888890787
2012;"3302254";"12029";33;"RJ";"0";"ITATIAIA (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;21;125067.701588216;2200.96013280287;299074.823668627;878492.814011667;129831.402199924;1309600.00001302;458609.088381384;1768209.08839441;60155.4458060068
2012;"3302270";"12008";33;"RJ";"0";"JAPERI (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;557;4;45377.0769748966;2741.19724058774;55868.9048501971;179876.264836748;334339.635848598;572826.002043397;39080.6371473255;611906.639190723;6286.4739052489
2012;"3302304";"12030";33;"RJ";"0";"LAJE DO MURIAE (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;58;1543824.92507328;7158.00080993642;14446.5653873031;17961.7669632418;33619.681012985;73186.0141734663;4097.68156202634;77283.6964682271;10409.9814284668
2012;"3302403";"12013";33;"RJ";"0";"MACAE (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4545;50;1727438.00557865;25725.8139671715;4929086.81457079;4183174.51426528;1332285.46687733;10470272.6089478;2107783.6127242;12578056.221672;57710.4792133364
2012;"3302452";"12019";33;"RJ";"0";"MACUCO (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171;24;2378724.92197837;1994.63234786005;13324.4212918319;27651.9605495906;27430.073146935;70401.0873362175;5063.22563406597;75464.313703018;14166.3816255599
2012;"3302502";"12023";33;"RJ";"0";"MAGE (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2143;30;209196.28674766;17742.3261611769;301456.494454522;821248.656577818;803582.166242138;1944029.64343565;124339.734230556;2068369.37766621;8970.75892227334
2012;"3302601";"12031";33;"RJ";"0";"MANGARATIBA (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;417;2;41006.6232608828;7443.61779820847;87635.8644096606;1436336.93753601;201074.378061886;1732490.79707303;109590.467416714;1842081.26522248;48220.7610612514
