"ano";"chave";"Estado";"Mun";"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.GIRASSOL";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"PRODUTOR.DA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"Total"
2016;"PAIM FILHO (RS)";"RS";"PAIM FILHO";"RS-PAIM FILHO";0;0;0;0;0;0;0;0;0
2016;"PALMARES DO SUL (RS)";"RS";"PALMARES DO SUL";"RS-PALMARES DO SUL";0;0;0;0;0;0;0;0;0
2016;"PALMEIRA DAS MISSOES (RS)";"RS";"PALMEIRA DAS MISSOES";"RS-PALMEIRA DAS MISSOES";0;0;0;0;0;0;2710.33999999985;35323.9199999999;38034.2599999998
2016;"PALMITINHO (RS)";"RS";"PALMITINHO";"RS-PALMITINHO";0;0;0;0;0;0;0;0;0
2016;"PANAMBI (RS)";"RS";"PANAMBI";"RS-PANAMBI";0;0;0;0;0;0;0;42600.3800000008;42600.3800000008
2016;"PANTANO GRANDE (RS)";"RS";"PANTANO GRANDE";"RS-PANTANO GRANDE";0;0;0;0;0;0;0;0;0
2016;"PARAI (RS)";"RS";"PARAI";"RS-PARAI";0;0;0;0;0;0;0;0;0
2016;"PARAISO DO SUL (RS)";"RS";"PARAISO DO SUL";"RS-PARAISO DO SUL";0;0;0;0;0;0;0;0;0
2016;"PARECI NOVO (RS)";"RS";"PARECI NOVO";"RS-PARECI NOVO";0;0;0;0;0;0;0;0;0
2016;"PAROBE (RS)";"RS";"PAROBE";"RS-PAROBE";0;0;0;0;0;0;0;0;0
2016;"PASSA SETE (RS)";"RS";"PASSA SETE";"RS-PASSA SETE";0;0;0;0;0;0;0;0;0
2016;"PASSO DO SOBRADO (RS)";"RS";"PASSO DO SOBRADO";"RS-PASSO DO SOBRADO";0;0;0;0;0;0;0;0;0
2016;"PASSO FUNDO (RS)";"RS";"PASSO FUNDO";"RS-PASSO FUNDO";0;0;0;0;0;0;1700.43999999948;15606.6999999955;17307.139999995
2016;"PAULO BENTO (RS)";"RS";"PAULO BENTO";"RS-PAULO BENTO";0;0;0;0;0;0;0;0;0
2016;"PAVERAMA (RS)";"RS";"PAVERAMA";"RS-PAVERAMA";0;0;0;0;0;0;0;0;0
2016;"PEDRAS ALTAS (RS)";"RS";"PEDRAS ALTAS";"RS-PEDRAS ALTAS";0;0;0;0;0;0;0;0;0
2016;"PEDRO OSORIO (RS)";"RS";"PEDRO OSORIO";"RS-PEDRO OSORIO";0;0;0;0;0;0;0;0;0
2016;"PEJUCARA (RS)";"RS";"PEJUCARA";"RS-PEJUCARA";0;0;0;0;0;0;0;56649.2200000044;56649.2200000044
