"cod_mun";"amc";"chave";"estado";"municipio";"polo"
5217203;16061;"PIRANHAS (GO)";"GO";"Piranhas";"Médio Araguaia do Goias"
5217401;16180;"PIRES DO RIO (GO)";"GO";"Pires do Rio";"Estrada de Ferro"
5217609;16043;"PLANALTINA (GO)";"GO";"Planaltina";"Nordeste Goiano, DF e Entorno"
5217708;16181;"PONTALINA (GO)";"GO";"Pontalina";"Morrinhos - GO"
5218003;16071;"PORANGATU (GO)";"GO";"Porangatu";"Norte"
5218805;16090;"RIO VERDE (GO)";"GO";"Rio Verde";"Sudoeste"
5218508;16122;"QUIRINOPOLIS (GO)";"GO";"Quirinopolis";"Sudoeste"
5219308;16189;"SANTA HELENA DE GOIAS (GO)";"GO";"Santa Helena de Goias";"Sudoeste"
5220207;16167;"SAO MIGUEL DO ARAGUAIA (GO)";"GO";"Sao Miguel do Araguaia";"Norte"
5220603;16115;"SILVANIA (GO)";"GO";"Silvania";"Estrada de Ferro"
5221551;16041;"TURVELANDIA (GO)";"GO";"Turvelandia";"Sudoeste"
5221452;16114;"TROMBAS (GO)";"GO";"Trombas";"Norte"
5221502;16200;"TURVANIA (GO)";"GO";"Turvania";"Sudoeste"
5221577;16101;"UIRAPURU (GO)";"GO";"Uirapuru";"Norte"
5221601;16084;"URUACU (GO)";"GO";"Uruacu";"Norte"
5222005;16204;"VIANOPOLIS (GO)";"GO";"Vianopolis";"Estrada de Ferro"
5222054;16181;"VICENTINOPOLIS (GO)";"GO";"Vicentinopolis";"Morrinhos - GO"
5222203;16113;"VILA BOA (GO)";"GO";"Vila Boa";"Nordeste Goiano, DF e Entorno"
